Name,Address,City,Type,Submitted Amount,Allowed Amount,Medicare Payment Amount
"BOONE, HELIODORO V",343 W HOUSTON ST SUITE 512,SAN ANTONIO,General Surgery,119585,42159.79,33085.6
"NAVARRO, RODOLFO R",903 W MARTIN ST ,SAN ANTONIO,Family Practice,121483,46431.74,32994.88
"MUGHAL, MOHAMMAD A",903 MOUNT RAINIER DR ,SAN ANTONIO,Family Practice,72427,48452.94,32989.27
"DAVIS, MARK K",1742 N LOOP 1604 E SUITE 118,SAN ANTONIO,Optometry,51868,48972.39,32926.81
"OWENS, AARON D",7703 FLOYD CURL DR MC 7977,SAN ANTONIO,Infectious Disease,85985,42828.75,32900.42
"MIMARI, DAMON A",8042 WURZBACH RD STE 630,SAN ANTONIO,General Surgery,128565.17,41896.69,32895.24
"GIFFIN, EDWARD L",1 MAXWELL GLN ,SAN ANTONIO,Otolaryngology,88755,41328.35,32797.21
"KING, JOHN C",4502 MEDICAL DR REEVES REHABILITATION CENTER,SAN ANTONIO,Physical Medicine and Rehabilitation,85152,41420.52,32765.59
"KORETSKY, STELLA",7703 FLOYD CURL DR ,SAN ANTONIO,Family Practice,101309,50094.34,32754.79
"TAYLOR, JESSICA L",21738 HARDY OAK BLVD SUITE 105,SAN ANTONIO,Physical Therapist,81390,43348.56,32719.05
"CARRIZAL, MICHAEL J",16403 HUEBNER RD STE 100 ,SAN ANTONIO,Family Practice,107564,44798.36,32715.78
"ROYALL, LINDA J",19222 STONEHUE STE 103,SAN ANTONIO,Dermatology,61472,46448.21,32643.74
"DAVIS, JR, MERRITT G",4502 MEDICAL DR HYPERBARICS DEPARTMENT,SAN ANTONIO,Family Practice,116760,41672.87,32632.75
"SANDOVAL, SAL S",1303 MCCULLOUGH AVE SUITE 229,SAN ANTONIO,Anesthesiology,311784,40079.72,32553.95
"SEGER, MICHAEL V",9910 HUEBNER RD 250,SAN ANTONIO,General Surgery,135112.9,42189.71,32542.95
"CARVER, DEBORAH L",8300 FLOYD CURL DR MC 7883,SAN ANTONIO,Neurology,89037,43109.14,32492.63
"MIRELES, JASON E",14726 HIDDEN GLEN WOODS ,SAN ANTONIO,Podiatry,55036,42493.47,32479.32
"SANCHEZ MORA, JULLY M",902 BANDERA RD ,SAN ANTONIO,Internal Medicine,89666.77,43485.24,32460.13
"HART, JEFFREY D",19016 STONE OAK PKWY STE. 280,SAN ANTONIO,Physical Therapist,85125,40538.62,32432.47
"RUTSTEIN, JESSICA F",10114 HUEBNER RD ,SAN ANTONIO,Podiatry,48707.29,45808.06,32334.26
"HARVEY, REBECCA",5805 CALLAGHAN RD SUITE 100,SAN ANTONIO,Licensed Clinical Social Worker,81765,55997.71,32289.69
"HUERTA, GERARDO",21 SPURS LN STE 310 ,SAN ANTONIO,Occupational therapist,111930,43127.23,32281.47
"RODRIGUEZ, CARMELITA P",1730 SW MILITARY DR STE 201,SAN ANTONIO,Internal Medicine,59455,46468.28,32213.89
"KAITNER, MARK A",4402 VANCE JACKSON RD SUITE 220,SAN ANTONIO,Anesthesiology,238548,41137.06,32184.39
"GONZALEZ, JUAN A",1920 SW MILITARY DR ,SAN ANTONIO,Internal Medicine,87253.1,43184.13,32129.29
"SCHROEDER, BETTY L",5721 BROADWAY ST ,SAN ANTONIO,Clinical Psychologist,128375,54309.54,31947.59
"VERNIER, JAMES H",1303 MCCULLOUGH AVE SUITE 229,SAN ANTONIO,Anesthesiology,349478,40479.38,31903.47
"ESTRADA, VICTOR A",14615 SAN PEDRO # 250,SAN ANTONIO,Allergy/Immunology,65501.5,42527.38,31898.33
"SAMANO, ITALO A",4242 MEDICAL DR SUITE 6300,SAN ANTONIO,Clinical Psychologist,77225,54946.58,31896.25
"DU, LIEM C","903 W. MARTIN, MS 49-2 ",SAN ANTONIO,Internal Medicine,61930.02,41538.65,31818.12
"RAMOS, DAVID A",3110 NOGALITOS SUITE 105,SAN ANTONIO,Family Practice,74065,43943.22,31793.73
"RAMIREZ, HORACIO R",9179 GRISSOM RD STE 101,SAN ANTONIO,Family Practice,69699,42630.53,31764.24
"TREUHAFT, BRIAN S",8811 VILLAGE DRIVE ,SAN ANTONIO,Internal Medicine,58584.26,40617.25,31743.43
"ETHRIDGE, JEFF D",8811 VILLAGE DRIVE ,SAN ANTONIO,Family Practice,55213.56,39721.54,31591.88
"LEPESKA, MICHAEL J",25231 FOUR IRON CT ,SAN ANTONIO,Diagnostic Radiology,177024.13,41841.39,31568.06
"ROMAN, ANGEL M",2833 BABCOCK RD SUITE 315,SAN ANTONIO,Physical Medicine and Rehabilitation,63415,43441.33,31566.02
"GARCIA, SERGIO A",4402 VANCE JACKSON RD SUITE 220,SAN ANTONIO,Anesthesiology,229668,39449.66,31559.81
"FEY LARSEN, RACHEL",1901 BABCOCK RD SUITE 204,SAN ANTONIO,Physical Therapist,57266.74,43732.43,31544.88
"HAMON, GREGORY A",3903 WISEMAN BLVD STE 304,SAN ANTONIO,General Surgery,62745.49,41225.96,31540.01
"KATIPALLY, BHOJA R","903 W MARTIN, MS 9-2 ",SAN ANTONIO,Family Practice,65223,42301.52,31307.18
"GODDARD, DIANE M",343 W HOUSTON ST SUITE 706,SAN ANTONIO,Nurse Practitioner,100720,52460.86,31306.65
"CANTU, JULIAN R",600 DIVISION AVE. STE. C,SAN ANTONIO,Family Practice,57970.99,43392.23,31288.57
"THOMPSON, RUSSEL L",7400 BLANCO ROAD SUITE 126,SAN ANTONIO,Clinical Psychologist,74500,41647.92,31281.4
"HTAY, THWE T",7703 FLOYD CURL DR MAIL CODE 7977,SAN ANTONIO,Internal Medicine,97034,47602.8,31271.52
"GROSS, GLENN",8300 FLOYD CURL DR 4TH FL -4A,SAN ANTONIO,Gastroenterology,138702,40195.84,31250.83
"COMPEAN, CHRSTIAN E",23127 IH 10 W SUITE 203,SAN ANTONIO,Physical Therapist,90581.87,40053.5,31243.18
"GELFOND, STEPHEN D",2727 BABCOCK RD STE B,SAN ANTONIO,Psychiatry,57822.27,52522.52,31228.7
"GARZA, ANNE-MARIE",12413 JUDSON RD SUITE 260,LIVE OAK,Physical Therapist,97322,41423.4,31227.85
"GARCIA, JOHN S",730 N MAIN AVE 824,SAN ANTONIO,Family Practice,63088,42610.35,31215.76
"MOLLICA, SHAWN M",16675 HUEBNER RD BLDG 2; SUITE 210,SAN ANTONIO,Physician Assistant,80225,43432.55,31178.38
"MATHAI, CYBELE",7330 SAN PEDRO ,SAN ANTONIO,Internal Medicine,58871.36,44010.01,31164.41
"RATNER, EVAN",16403 HUEBNER RD STE 100 ,SAN ANTONIO,Emergency Medicine,98944,41848.96,31163.34
"KOSTROUN, PHILLIP W",5107 MEDICAL DR ,SAN ANTONIO,Registered Dietician/Nutrition Professional,55370,32256.27,31074.21
GLOBAL SLEEP SAN ANTONIO LP,540 OAK CENTRE DR SUITE 210,SAN ANTONIO,Independent Diagnostic Testing Facility,517071,39142.18,31056.9
"HELMS, HOLLIS R",2235 THOUSAND OAKS #111 ,SAN ANTONIO,Chiropractic,44420.46,41485.08,31030.41
"MILLER, FRANK",7703 FLOYD CURL DR DEPARTMENT OF OTOLARYNGOLOGY-HEAD NECK SURGERY,SAN ANTONIO,Otolaryngology,117005,41370.19,31012.59
"SPEEDLIN, RICHARD A",1200 BROOKLYN AVE SUITE 130,SAN ANTONIO,Family Practice,45097.5,41235.05,30789.89
"VENKATESH, ARUNA",701 S ZARZAMORA ST ,SAN ANTONIO,Endocrinology,60712,39191.13,30789.24
"DE LEON, PEDRO A",7430 BARLITE BLVD SUITE 108,SAN ANTONIO,Family Practice,75167.44,49366.88,30766.64
"ETLINGER, JOHN E",1303 MCCULLOUGH AVE SUITE 235,SAN ANTONIO,General Surgery,82785,38922.98,30747.67
"JASO, RENE G","1303 MCCULLOUGH AVE METROPOLITAN PROFESSIONAL BLDG, 538",SAN ANTONIO,General Surgery,314137,39162.45,30745.23
"REVERON-QUESTELL, EDMUNDO",11403 OCONNOR RD STE 108,SAN ANTONIO,Family Practice,257177,40514.89,30727.82
"PELAEZ, RAUL A",2 DAVENTRY LN ,SAN ANTONIO,Diagnostic Radiology,195921.75,40154.87,30687.71
"SAYEGH, SAMIR",17000 SAN PEDRO AVE ,SAN ANTONIO,Family Practice,48118,41677.96,30600.45
"ESCALANTE, DANTE",4364 THOUSAND OAKS DR ,SAN ANTONIO,Internal Medicine,70625,45566.54,30594.39
"SCHROEDER, FRANK W",502 MADISON OAK DR SUITE 346,SAN ANTONIO,Orthopedic Surgery,66228,39700.99,30588.22
"ZACHARKO, JOSEPH R",9150 HUEBNER RD STE 200,SAN ANTONIO,Physician Assistant,165542,41150.13,30587.74
"RIVERA-FERNANDEZ, JULIE S",903 W MARTIN ST ,SAN ANTONIO,Internal Medicine,74994,41326.83,30533.49
"ESCOBAR, BEATRIZ E",8401 DATAPOINT DR STE 600 ,SAN ANTONIO,Diagnostic Radiology,146360,38443.3,30512.92
"ENG, MARVIN H",8300 FLOYD CURL DR 3RD FLOOR -3B,SAN ANTONIO,Cardiology,97500,39283.61,30377.77
"NGUYEN, NAM-VINH",45 NE LOOP 410 SUITE 900,SAN ANTONIO,Anesthesiology,223152,38228.87,30368.63
"TRESZEZAMSKY, ALEJANDRO D",1303 MCCULLOUGH AVE SUITE GL70,SAN ANTONIO,Obstetrics/Gynecology,73015,39258.27,30351.87
"LANCASTER, ALANDRA K",3110 NOGALITOS SUITE 201,SAN ANTONIO,Physical Therapist,105781,40247.31,30320.59
"VAZQUEZ, SALVADOR C","1055 ADA, MS 65-2 ",SAN ANTONIO,Family Practice,65287,43697.79,30319.46
"RODRIGUEZ, JOY ANNE N",2235 THOUSAND OAKS DR SUITE 117,SAN ANTONIO,Family Practice,46884.4,39026.64,30298.37
"MOGGA, NOELA L",45 NE LOOP 410 ,SAN ANTONIO,Anesthesiology,226356,39160,30272.1
"RODRIGUEZ, ROBERTO H",8300 FLOYD CURL DR 3RD FL -3C,SAN ANTONIO,Podiatry,94817,41723.25,30260.79
"RAMAMURTHY, SOMAYAJI",7703 FLOYD CURL DR ,SAN ANTONIO,Anesthesiology,94084,41817.12,30255.96
"WALKER, MELISSA A",1954 E HOUSTON ST SUITE 105,SAN ANTONIO,Family Practice,86795.06,40541.6,30222.17
"CENTER FOR DISEASE DETECTION, LLC",11603 CROSSWINDS WAY SUITE 100,SAN ANTONIO,Clinical Laboratory,49165,31950.27,30186.14
"THOMAS, SCOTT M",2211 NW MILITARY HWY STE 201,SAN ANTONIO,Family Practice,61995.75,44443.21,30175.97
"HLA, TIN A",12501 JUDSON RD STE. 202,LIVE OAK,Internal Medicine,60160,48698.95,30137.68
"HAREA, MIHAELA C",45 NE LOOP 410 SUITE 900,SAN ANTONIO,Anesthesiology,221856,38425.13,30132.85
"BRENNER, JOHN R",45 NE LOOP 410 SUITE 900,SAN ANTONIO,Anesthesiology,240216.25,37249.96,30127.92
"HAYS, JANET V",7703 FLOYD CURL DR CARDIOLOGY DIVISION UTHSCSA,SAN ANTONIO,Internal Medicine,114193,39859.99,30118.19
"CELIO, PAUL V",4411 MEDICAL DR STE 300,SAN ANTONIO,Cardiology,98295.4,38271.77,30114.06
"NIETZ, BRIAN C",19260 STONE OAK PKWY SUITE 107,SAN ANTONIO,Physical Therapist,82177.08,39542.98,30029.02
"DEDMON, MARK",4502 MEDICAL DR ,SAN ANTONIO,Physician Assistant,121199,42053.23,29941.82
"LOWRY, GEORGE M",2161 NW MILITARY HWY SUITE 101,SAN ANTONIO,Ophthalmology,57229.69,45430.62,29931.8
"GORDON, WAYNE H",1314 E SONTERRA BLVD SUITE 601,SAN ANTONIO,Neurology,58927.09,40390.76,29897.98
"BRACKEN, CHRISTOPHER",4502 MEDICAL DR ,SAN ANTONIO,Anesthesiology,301524,37392.8,29896.1
"ALICK, SASHA",7330 SAN PEDRO AVE STE 540 ,SAN ANTONIO,Neurology,80214,37376.31,29881.76
"STOGRYN, RONALD S",4025 E SOUTHCROSS BLVD BLDG 2 ,SAN ANTONIO,Family Practice,81872.26,42680.41,29850.84
"DEEP, ANTHONY M",414 NAVARRO ST STE 809,SAN ANTONIO,Family Practice,65446.81,39481.43,29788.29
"SADLER, RANDALL K",8715 VILLAGE DR SUITE 410,SAN ANTONIO,Obstetrics/Gynecology,69310,38223.36,29734.06
"LUM, HELEN",8300 FLOYD CURL DR 1ST FLOOR,SAN ANTONIO,Geriatric Medicine,82012,40917.81,29721.86
"ANGUEIRA, WANDA D",7940 FLOYD CURL DR SUITE 215,SAN ANTONIO,Family Practice,53341,39589.31,29701.26
"MCCALL, DAVID",8300 FLOYD CURL DR ,SAN ANTONIO,Cardiology,75135,38146.31,29689.73
"WILLIS, DENNIS E",2455 NE LOOP 410 STE 100,SAN ANTONIO,Emergency Medicine,274212,39584.75,29683.82
"GLASS, JEFFREY L",4242 E SOUTHCROSS BLVD SUITE 1,SAN ANTONIO,General Surgery,101863.21,38224.96,29572.68
"CAVAZOS, JOSE F",1303 MCCULLOUGH AVE 533,SAN ANTONIO,General Practice,44883.91,43864.74,29524.02
"WILCOX, REX E",12709 TOEPPERWEIN RD STE 101,LIVE OAK,Orthopedic Surgery,80454.92,39416.62,29468.81
"TRAMER, JONATHAN O",8042 WURZBACH RD STE 310,SAN ANTONIO,General Surgery,84749,38352.52,29462.37
"BROOKS, FRANKLIN R",12915 JONES MALTSBERGER RD ,SAN ANTONIO,Clinical Psychologist,71880,41445.21,29456.15
"MARCINISZYN, SARA L",343 WEST HOUSTON STREET SUITE 705,SAN ANTONIO,Colorectal Surgery (formerly proctology),76366,39283.69,29410.42
"BRODY, JENNIFER D",225 E. SONTERRA BLVD SUITE 217,SAN ANTONIO,Pulmonary Disease,73315,36529.4,29399.28
"RAHAL, ANDRES",7703 FLOYD CURL DR ,SAN ANTONIO,Diagnostic Radiology,115248.18,39806.06,29349.18
"HAZELTON, JILL M",21 SPURS LN SUITE 310,SAN ANTONIO,Occupational therapist,96295,37995.22,29347.86
"ZUFLACHT, MICHAEL I",2829 BABCOCK RD SUITE 429,SAN ANTONIO,Neurology,66059,39374.55,29302.91
"STONEKING, CARRIE","19780 HIGHWAY 281 SOUTH, MS 33-2 ",SAN ANTONIO,Family Practice,62691,41522.59,29279.64
"CAVEDA, EDUARDO O",803 CASTROVILLE ROAD SUITE 120,SAN ANTONIO,Family Practice,58249,43107.01,29266.51
"PURSWANI, SHYAM",2455 NE LOOP 410 SUITE 101,SAN ANTONIO,Interventional Pain Management,87590,40282.62,29251.49
"GRANGER, STEVEN R",7703 FLOYD CURL DR MC 7977,SAN ANTONIO,General Surgery,70587,37450.5,29230.25
"WILLIAMS, THOMAS H",6711 S NEW BRAUNFELS AVE STE 100 ,SAN ANTONIO,Psychiatry,37653.55,37594.53,29222.92
"ADKINS, MARY",8808 TRADEWAY ST ,SAN ANTONIO,Chiropractic,55020,37371.4,29192.39
"RAMOS, LUIS R",45 NE LOOP 410 SUITE 900,SAN ANTONIO,Anesthesiology,214524,36621.21,29167.11
"KARAM, HAROLD",4242 MEDICAL DR SUITE 1300,SAN ANTONIO,Anesthesiology,214944,36691.93,29165.58
"HARR, MARY BETH",7950 FLOYD CURL DR SUITE 805,SAN ANTONIO,Family Practice,62859,40039.15,29145.65
"ECKMANN, MAXIM S",7703 FLOYD CURL DRIVE MAIL CODE 7838,SAN ANTONIO,Anesthesiology,92685.64,38442.14,29106.98
"AMIR, NANCY E",9577 HUEBNER RD BLDG 4,SAN ANTONIO,Optometry,60022,40668.89,29092.84
"DOMINGUEZ, TAMARA J",20821 US HWY 281 NORTH SUITE 122,SAN ANTONIO,Family Practice,76034.09,39531.03,29014.98
"VARGAS, SANTOS M",1731 N. COMAL STREET ,SAN ANTONIO,Licensed Clinical Social Worker,78385,47514.49,29012.04
"KING, AARON A",20330 HUEBNER RD SUITE # 104 CREEK AT STONE OAK,SAN ANTONIO,Family Practice,54969.49,41267.31,29007.21
"NGO, LAN-ANH L",19016 STONE OAK PKWY STE 140,SAN ANTONIO,Family Practice,55907,38492.33,28983.52
"SMITH, DANIEL D",111 DALLAS ST EMERGENCY ROOM,SAN ANTONIO,Emergency Medicine,114550,36900.06,28976.68
"BHAVARAJU-SANKA, RATNA K",8300 FLOYD CURL DR 4TH FLOOR -4A,SAN ANTONIO,Neurology,95520,38668.99,28967.23
"TAMEZ, ANGEL J",311 CAMDEN ST SUITE 501,SAN ANTONIO,General Surgery,51867.7,36525.36,28948.7
"VANCLEAVE, STEPHEN J",21465 IH 10 SUITE 217-508,SAN ANTONIO,Emergency Medicine,217641,36994.98,28940.3
"LUNSFORD, TISHA N",7703 FLOYD CURL DR ,SAN ANTONIO,Gastroenterology,112397,37650.06,28924.67
"TORRES, LUIS N",1920 S.W. MILITARY DRIVE ,SAN ANTONIO,Family Practice,74095.49,38707.64,28809.59
"ENRIQUEZ, BENITO G",215 E QUINCY ST STE 500,SAN ANTONIO,Physician Assistant,86646.63,40034.85,28763.89
"GARZA BERLANGA, ANDRES E",4502 MEDICAL DR ,SAN ANTONIO,Diagnostic Radiology,178593,36727.71,28744.24
"WALLACE, MARK K",3851 ROGER BROOKE DR FT SAM HOUSTON,SAN ANTONIO,Endocrinology,83600.08,37122.44,28709.13
"DOMINGUEZ, MICHAEL J",590 N GENERAL MCMULLEN SUITE 1,SAN ANTONIO,Family Practice,71126.03,39035,28701.28
"HENDRICK, ERIC P",8401 DATAPOINT DR SUITE 600,SAN ANTONIO,Diagnostic Radiology,138514,36137.94,28693.65
"GUTIERREZ, OLIVIA",3811 MORGANS CREEK ,SAN ANTONIO,Anesthesiology,139670,36262.56,28690.95
"ANDRY, JAMES M",5290 MEDICAL DR ,SAN ANTONIO,Pulmonary Disease,48725,38250.16,28671.9
"DIXON, JOEY D",7810 LOUIS PASTEUR DR STE 200 ,SAN ANTONIO,Physician Assistant,107952,37743.46,28566.52
"ARIZACA DILEO, PATRICIA K",902 BANDERA RD ,SAN ANTONIO,Internal Medicine,69420.15,37453.72,28557.49
"RIGSBY, RICHARD R",15126 SAN PEDRO ,SAN ANTONIO,Optometry,43110,42236.37,28529.14
"KELLEY, HARMON W",4115 E SOUTHCROSS BLVD SUITE 102,SAN ANTONIO,Obstetrics/Gynecology,60945,37251.75,28503.78
"VALDES, PAVEL",720 PLEASANTON RD ,SAN ANTONIO,Internal Medicine,77427.67,38981.35,28453.43
"DALESANDRO, HECTOR H",16607 BLANCO RD SUITE 603,SAN ANTONIO,Anesthesiology,202608,35605.06,28446.5
"DICKSON, JAMES E",12042 BLANCO RD STE. 308,SAN ANTONIO,Psychiatry,79250,52112.96,28437.83
"BONILLA, JORGE A",45 NE LOOP 410 SUITE 900,SAN ANTONIO,Anesthesiology,211740,35828.35,28337.34
"MUELLER, CHERYL H",9480 HUEBNER RD #100,SAN ANTONIO,Family Practice,45136.09,38129.2,28308.59
"GARCIA, RONALD K",2829 BABCOCK RD SUITE 540,SAN ANTONIO,Internal Medicine,80920.76,43470.86,28298.9
"WEISS, ROBERT A",1954 E HOUSTON ST SUITE 102,SAN ANTONIO,Internal Medicine,59890,40347.23,28272.15
"KORESHI, SABEEN K",302 W RECTOR ST ,SAN ANTONIO,Family Practice,83130,44439.63,28240.31
"JOHNSON, GLORIA J",7810 LOUIS PASTEUR DR SUITE 200,SAN ANTONIO,Physician Assistant,84095,38621.72,28227.4
"MEYER, PAMELA S",9150 HUEBNER RD STE. 170,SAN ANTONIO,Occupational therapist,175120.07,36595.08,28227.04
"MITCHELL, BAKER A",5282 MEDICAL DR STE 614,SAN ANTONIO,Anesthesiology,91950.2,37101.89,28180.92
"COVEY, BRENDA K",45 NE LOOP 410 SUITE 900,SAN ANTONIO,Anesthesiology,214476,35370.98,28164.72
"JAGIRDAR, JAISHREE",4502 MEDICAL DR ,SAN ANTONIO,Pathology,104690,35605.55,28149.51
"GUTIERREZ, AMY J",9355 BANDERA RD STE 136,SAN ANTONIO,Family Practice,84808,39092.71,28053.13
"EATON, CAROLYN",7726 LOUIS PASTEUR DR # MS 7-1 ,SAN ANTONIO,Family Practice,58500,39179.12,28052.34
"AKRIGHT, BRUCE D",8715 VILLAGE DR SUITE 410,SAN ANTONIO,Obstetrics/Gynecology,58180,36750.71,28036.73
"RAMIREZ, JESUS R",701 S ZARZAMORA ST ,SAN ANTONIO,Podiatry,120827,36204.38,28031.68
"DE LLANOS, ARIEL",2040 BABCOCK RD STE 403,SAN ANTONIO,Psychiatry,104995,50601.69,28013.98
"SPARKS, VICKI J",114 SOUTHBRIDGE ST SUITE D ,SAN ANTONIO,Emergency Medicine,52449,39755.17,27985.49
"GILLESPIE, W. B",19222 STONEHUE STE 104 ,SAN ANTONIO,Podiatry,62455,38528.26,27969.56
"GREENWOOD, DAVID W",8026 FLOYD CURL DR ,SAN ANTONIO,Nurse Practitioner,108186,35357.29,27925.28
"LUNA, JOSEPH H",94 BRIGGS ST #300,SAN ANTONIO,Family Practice,69529,40640.12,27912.3
"WILD, JAMES",14615 SAN PEDRO STE # 105,SAN ANTONIO,Internal Medicine,68673.81,36994.09,27909.61
"GARCIA, MARCO X","1055 ADA, MS 65-2 ",SAN ANTONIO,Internal Medicine,61220,40903.37,27897.07
"MASON, EVA M",311 CAMDEN ST SUITE 311,SAN ANTONIO,Family Practice,52875,38070.69,27847.41
"SZABO, CHARLES A",7703 FLOYD CURL DR ,SAN ANTONIO,Neurology,107887,39245.58,27846.73
"BIASIOLLI, JAMES A",400 CONCORD PLAZA DR 130,SAN ANTONIO,Occupational therapist,168258.56,35696.68,27744.15
"BAROS, LARRY W",19276 STONE OAK PKWY SUITE 102,SAN ANTONIO,Family Practice,40763.14,40330.73,27743.52
"HEISLER, GERALD P",17331 IH 35 NORTH #107,SCHERTZ,Family Practice,53241.25,39748.81,27721.55
"PERCHES, DAVID",45 NE LOOP 410 SUITE 900,SAN ANTONIO,Anesthesiology,203160,34786.52,27713.21
"CUDNIK, BRAD A",6207 PECAN VALLEY DR ,SAN ANTONIO,Chiropractic,66476,36627.58,27676.03
"WOODS, FRANCIS W",406 SHARMAIN PL ,SAN ANTONIO,Licensed Clinical Social Worker,84100,48126.34,27635.05
"MADRID, CLARICE",5107 MEDICAL DR ,SAN ANTONIO,Registered Dietician/Nutrition Professional,46050,28495.3,27634.18
"ZINSMEISTER, DAVID E",7703 FLOYD CURL DR MC 7977,SAN ANTONIO,Physician Assistant,110673,37663.45,27608.19
"MEANEY, JOAN T",7909 FREDERICKSBURG RD SUITE #130,SAN ANTONIO,Urology,92513,41293.12,27569.33
"HONER, CRAIG A",9386 HUEBNER RD STE 100,SAN ANTONIO,Chiropractic,42600,36034.32,27531.48
"MONTEMAYOR, DAVID",527 N LEONA ST ,SAN ANTONIO,Internal Medicine,120361,43296.92,27470.7
"GYANI, ABHA",4438 CENTERVIEW ,SAN ANTONIO,Internal Medicine,75502.14,34326.5,27462.37
"MEDINA, ARTHUR A",1110 MCCULLOUGH AVE ,SAN ANTONIO,Optometry,44580,41069.13,27433.98
"CARABALLO, HECTOR L",901 EVENTIDE DR ,SAN ANTONIO,Emergency Medicine,185328,35170.12,27431.41
"KAUFMAN, HOLLY","1055 ADA, MS 65-2 ",SAN ANTONIO,Family Practice,54362,36565.79,27430.83
"GOMEZ, DALYS F",24165 IH 10 W STE 126,SAN ANTONIO,Allergy/Immunology,66491,36040.47,27368.48
"PAYNE, MILES",45 NE LOOP 410 STE 900 ,SAN ANTONIO,Anesthesiology,202710,34373.54,27366.94
"COWAN, KELLY G",16019 VIA SHAVANO ,SAN ANTONIO,Psychiatry,98495,46086.73,27363.96
"WAGNER, BRENT",7703 FLOYD CURL DR # MC7882 NEPHROLOGY/MEDICINE/UTHSCSA,SAN ANTONIO,Nephrology,103884,34181.63,27345.61
"LISTENGARTEN, DMITRY V",8026 FLOYD CURL DR ,SAN ANTONIO,Psychiatry,94854,36347.13,27330.62
"NISTAL, LOUIS F",7323 MARBACH RD SUITE 104,SAN ANTONIO,Physician Assistant,97473,45373.89,27318.55
"HERNANDEZ, RICHARD",12650 NACOGDOCHES RD ,SAN ANTONIO,Family Practice,56835,38371.3,27311.48
"VU, KHANG",45 NE LOOP 410 SUITE 900,SAN ANTONIO,Anesthesiology,207528,35607.28,27308.32
"JOHNSON, ALEXIS N",8401 DATAPOINT DR SUITE 500,SAN ANTONIO,Physician Assistant,275848,35194.96,27302.53
"LAWRENCE, LEONARD M",45 NE LOOP 410 SUITE 900,SAN ANTONIO,Anesthesiology,201624,34644.78,27292.69
"GARZA, SONIA M",5107 MEDICAL DR ,SAN ANTONIO,Registered Dietician/Nutrition Professional,51215,28667.88,27285.71
"SHERICK, KURT J",12050 VANCE JACKSON RD BUILDING 2 SUITE 201,SAN ANTONIO,Psychiatry,61255,34487.47,27248.32
"BABINSKI, MACIEJ F",45 NE LOOP 410 SUITE 900,SAN ANTONIO,Anesthesiology,203040,34845.98,27207.49
"RILEY, DANIEL J",7703 FLOYD CURL DR ,SAN ANTONIO,Internal Medicine,92085,35454.62,27147.66
"SINGH, PRAFULLA C",1200 BROOKLYN AVE STE 140 ,SAN ANTONIO,Interventional Pain Management,88510,35315.31,27106.78
"WARD, DAVID A",333 N SANTA ROSA AVE CHRISTUS SANTA ROSA HOSPTTAL - CITY CENTRE,SAN ANTONIO,Physician Assistant,222521,34889.64,27081.72
"BROWN, AMBUR L",17331 IH 35 N SUITE 107,SCHERTZ,Family Practice,50776.98,38239.77,27058.93
"OWENS, NICOLE M",2632 BROADWAY ST SUITE 401NORTH,SAN ANTONIO,Dermatology,86818,34104.3,27030.08
"BEBARTA, VIKHYAT",8401 DATAPOINT DR SUITE 500,SAN ANTONIO,Emergency Medicine,131640,34842.12,27016.84
"ERIAN, RALPH F",45 NE LOOP 410 SUITE 900,SAN ANTONIO,Anesthesiology,241807.84,33195.61,26984.85
"JOYCE, ROBY P",12412 JUDSON RD ,LIVE OAK,Pathology,166741,33889.67,26978.17
"PRADO, STEPHANIE M",117 SOUTHBRIDGE ST ,SAN ANTONIO,Physical Medicine and Rehabilitation,72117,33702.81,26974.17
"SEASTRUNK, BRIAN K",45 NE LOOP 410 SUITE 900,SAN ANTONIO,Anesthesiology,203196,33773,26970.45
"JENKINS, DOUGLAS W",124 DALLAS ST ,SAN ANTONIO,Internal Medicine,53742.38,40807.97,26970.22
"DIMMITT, DEAN B",45 NE LOOP 410 SUITE 900,SAN ANTONIO,Anesthesiology,212964,34161.26,26961.08
"GALINDO, RYANE M",414 NAVARRO ST ,SAN ANTONIO,Physician Assistant,153145.13,35147.17,26894.97
"BODE, WILLIAM E",7950 FLOYD CURL DR STE 101,SAN ANTONIO,Colorectal Surgery (formerly proctology),94764,35209.31,26748.66
"CHANG, KUANG-YU M",45 NE LOOP 410 SUITE 900,SAN ANTONIO,Anesthesiology,206547.04,33511.87,26711.25
"GILBERT, PATRICIA F",5364 FREDERICKSBURG RD SUITE 110,SAN ANTONIO,Clinical Psychologist,45160,33378.56,26703.42
"ROBINSON, DOUGLAS W",8042 WURZBACH RD STE 310,SAN ANTONIO,General Surgery,66894,36974.39,26702.51
"COLEMAN, WOODWARD L",8550 DATAPOINT DR SUITE 110,SAN ANTONIO,Hand Surgery,57733,35995.59,26691.03
"ACKLEY, JACQUELINE L",12315 JUDSON RD SUITE 114,LIVE OAK,Pathology,207141,33436.38,26674.43
"DO, KHANH G",1439 SW MILITARY DR ,SAN ANTONIO,Internal Medicine,52800,38145.48,26638.83
"MIWA, EDWARD A",600 DIVISION AVE STE F ,SAN ANTONIO,Family Practice,70682.41,35581.26,26627.79
"MARTIN, AMBER L",107 BRIGHTWOOD PL APT D,SAN ANTONIO,Licensed Clinical Social Worker,64825,44974.52,26546.84
